token_type,token_address,reciever,amount
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0x5873002348cd4df2abd2624a6fc30e90573019f5,3082485
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xb7a458af8ed4d14fb9f89284ad26ecd4c02afa12,1442609
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xcc0502ab76ed21cc8931693767ca2b2d09bc1ade,664790
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xa125ddbea4a910dfd492a42fac5b33542f6a71f2,660471
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0x4a51e33c241f0761dbdc8a22f046c41935c7b1b9,530551
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xe6bd9cd02f5507c911b9b9ca4a4666259c9024fa,158431
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xf85f074f8b7a6d6d4208fa8fbbef0301de0bb9f7,64470
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0x5141c9b958ca8d2097f29124255951235763bb09,63042
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xa770fd77de7619b10301714c7733133b4a520210,57526
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xf3dbf679d5d1e5d97fd4d486276b1d361d2623a2,54796
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0x31c057a4d4b47a854dbfe4f1a18aba2330729c3d,35371
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0x1cab13d773cf6ba49c699cbdbfada7ebe5d5d224,31584
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xdab60ee75171b84f71bf2fb9b2d2e77aed814616,29386
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xad95f31be932adeaceafc5d9f34253b2e4f2e6ad,27594
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0x9464109637e26f66334db4d98e287baf5f739f58,25921
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0x67102752c2cc757dbdbc5b3b3223e24eaa09a1d0,24759
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0x6933194c91e0178bcc7917100fb69b74ae9db6ac,21028
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xd0013d0d6afcc1ad69a8a5d898a178c5ec03af4b,9212
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0x4ee77d7a485cfd4c7b522dcef34194608582adf7,8505
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xa18abe5eddab2cdbf2837425faaf32bd9b0085dc,4606
ERC20,0xF3ABaa9eA255d38763A5D0Ae6286d6df53154dDC,0xb26141c8caeecb06663a6ff611db62511e228fa9,2863
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0x6c4a15a650a2d32cf71c291045dc35e0390bf2d1,193221500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0x5873002348cd4df2abd2624a6fc30e90573019f5,99113500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0x67102752c2cc757dbdbc5b3b3223e24eaa09a1d0,41053500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0xa125ddbea4a910dfd492a42fac5b33542f6a71f2,34505500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0xb7a458af8ed4d14fb9f89284ad26ecd4c02afa12,31242500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0x63e55cdcb9451873eb774c6e66d4962a39c17386,29333500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0xf85f074f8b7a6d6d4208fa8fbbef0301de0bb9f7,21239000
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0xe6bd9cd02f5507c911b9b9ca4a4666259c9024fa,11779500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0x5141c9b958ca8d2097f29124255951235763bb09,11082500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0xa770fd77de7619b10301714c7733133b4a520210,7960500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0xf3dbf679d5d1e5d97fd4d486276b1d361d2623a2,7059000
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0xb26141c8caeecb06663a6ff611db62511e228fa9,3990500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0x9464109637e26f66334db4d98e287baf5f739f58,2410500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0x4ee77d7a485cfd4c7b522dcef34194608582adf7,2370000
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0xd0013d0d6afcc1ad69a8a5d898a178c5ec03af4b,1362500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0xc1c41cc93e5f18f6e77c3f5f7240cd5692fb4825,1337000
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0x81444fd8ec08df63a02219a10ea0906d8c93925b,455500
ERC20,0x089582AC20ea563c69408a79E1061de594b61bED,0x44574d53474729f2949a7ecfb68b0641cfda4aa8,327000
