address,quantity
0xF23D3f41077Ed564ED7B61de628afb2dE549130D,19597
0x5141c9B958cA8d2097F29124255951235763bB09,100
0xbC997a0206925C0C4637A030aF7e1b86bE31c544,100
0x1e4AA52B28b7933A89c091993D3b459564C45487,50
0xB3456934ae9a8ccA7c2871eCDF2364fdB903fc31,44
0xA38cDa935B26906d1F3900634b1f7a4915C16011,40
0xA770Fd77DE7619B10301714C7733133b4A520210,25
0x233c26467E0A929C75f5fFFc5e766F0ca063E551,10
0xC313c8257fF407926A67ae48fefB68116de8129C,10
0xDF8D07DD7cDA8A0F5485ECF46483510Ac0CA0383,10
0x2dDD0332b3c9BA245542bB30676Eb0462B3E4538,3
0x4ff57F4a622Db3DC7017AEd300E2Bc9E7962f4a1,2
0xE805517C9d38B7198f9db7C0c247869567dEC209,2
0xF85F074f8B7A6d6D4208fA8fbbef0301DE0bb9F7,2
0x18fD80A3b06c540C5B8E4268DCcD4615165F32Bb,1
0x24C456CbBcAB2066E6B344A02BAE0b2e7A8bE895,1
0xa2520159f15408AC76099c4a6338829B13010ff7,1
0xaEf6862193D47F0b1C2e30F6e49beBeDebC40fdC,1
0xCc6c6BBf1Ea1450439F88dAbA8590C9bB1d5833e,1
