address,quantity
0x000000000000000000000000000000000000dEaD,84500
0xF23D3f41077Ed564ED7B61de628afb2dE549130D,79181
0xbC997a0206925C0C4637A030aF7e1b86bE31c544,5158
0xf66fe7cBa3eD1E566d5c1FEAFB645493C6cf1d39,4157
0x5141c9B958cA8d2097F29124255951235763bB09,851
0x1e4AA52B28b7933A89c091993D3b459564C45487,627
0x67102752C2cC757dbdbC5b3B3223E24eaa09a1D0,564
0x1cAB13D773Cf6ba49C699cBdbFaDa7eBE5d5d224,453
0xF808C0402f7a1F14A7467A5D46FF4DC9f3E729e8,420
0x75cc5EE2ab83F6cC2a09403E24885e1d436F5697,340
0xB3456934ae9a8ccA7c2871eCDF2364fdB903fc31,330
0xA38cDa935B26906d1F3900634b1f7a4915C16011,311
0xb96C6475aa758FF3b5EB9fb605d324681A75F2Ab,205
0xA770Fd77DE7619B10301714C7733133b4A520210,195
0x63e55cdcB9451873Eb774c6e66D4962a39c17386,190
0x042982C4BF95B0DAD2452F0dB1AaD33b6aD5c893,161
0x81444FD8ec08Df63A02219a10ea0906D8c93925B,155
0xa125ddbeA4a910dfD492a42FAc5B33542F6a71F2,153
0xB7a458AF8eD4D14fB9F89284Ad26eCd4C02AFa12,101
0xB96F63E3a7C380214704893f8f38f91caF413321,101
0x4069567588a2058184dAE9Be00a5a0b805A05168,100
0xc909fDE43f44BABd675aaE27953b1320D090D749,100
0x8CC30992c17d08D3a3eE6B232b26381DB99C9531,90
0x233c26467E0A929C75f5fFFc5e766F0ca063E551,70
0x315828EeE50D9ad0Ea918155b661e841c5128b55,70
0x07E2456dc4E2c4CfFbD1114C7A265f8D80E526F3,62
0xF85F074f8B7A6d6D4208fA8fbbef0301DE0bb9F7,57
0xE805517C9d38B7198f9db7C0c247869567dEC209,55
0xdaB60eE75171B84F71Bf2Fb9B2D2E77aED814616,54
0x0a61583F1B69882d09673E9875C615c07Ba4d845,53
0x753D3e0F8Ad6FE487f7a0bEb4dD95678480e9348,52
0x6C4a15A650A2D32Cf71c291045DC35E0390Bf2D1,51
0xa8e528d686E19EFEd1Cf39A2393eA9F6ba3e5d1B,48
0xC313c8257fF407926A67ae48fefB68116de8129C,44
