token_type,token_address,receiver,amount
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0xF85F074f8B7A6d6D4208fA8fbbef0301DE0bb9F7,100000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x14FD69276549a29D165329015b96fFC8Ae50A4C5,80000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x41b20B72DdfaA90807a133cF902167F4F20C8DDe,80000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x6502E95F545e65224135B26DD1f1915018f2f948,80000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x67102752C2cC757dbdbC5b3B3223E24eaa09a1D0,80000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0xE44610Fa5AD7e8d2F057ecE5128169B1f7E57Bcc,80000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x1cAB13D773Cf6ba49C699cBdbFaDa7eBE5d5d224,60000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x409BB0a45Bd756F409D4ea774C918f8eEAa9b25f,60000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x5F6C1772AB70Dd73bFBAdAB536794E44f67c64C4,60000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x66753Cd951081317E225b417217194792b6D4De3,60000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x6d5a6B676928bAAc2D0B133ECEc14452C4C3bA21,60000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x753D3e0F8Ad6FE487f7a0bEb4dD95678480e9348,60000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x7eE5432bB4D615e50C4812c961584e21c060c232,60000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x8843763575BCC72CafD54314FfBd64D7b0463E1a,60000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0xa15Dc407C420cCDB3Fb209F65286B6BdDB83345a,60000
