Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x6c4a15a650a2d32cf71c291045dc35e0390bf2d1","","13,660.729824942562795403","39.8293%",""
"2","0x5873002348cd4df2abd2624a6fc30e90573019f5","","6,655.07325278993454196","19.4036%",""
"3","0x67102752c2cc757dbdbc5b3b3223e24eaa09a1d0","anasthesia.unstoppable","2,756.573339906215284993","8.0371%",""
"4","0xa125ddbea4a910dfd492a42fac5b33542f6a71f2","","2,316.895366579517614871","6.7551%",""
"5","0xb7a458af8ed4d14fb9f89284ad26ecd4c02afa12","","2,097.803913591000916218","6.1164%",""
"6","0x63e55cdcb9451873eb774c6e66d4962a39c17386","","1,969.621269296983532464","5.7426%",""
"7","0xf85f074f8b7a6d6d4208fa8fbbef0301de0bb9f7","","1,426.115308753317690982","4.1580%",""
"8","0xe6bd9cd02f5507c911b9b9ca4a4666259c9024fa","","790.951469381628019625","2.3061%",""
"9","0x5141c9b958ca8d2097f29124255951235763bb09","","744.13330704081101813","2.1696%",""
"10","0xa770fd77de7619b10301714c7733133b4a520210","","534.52537905683828466","1.5585%",""
"11","0xf3dbf679d5d1e5d97fd4d486276b1d361d2623a2","","473.995668604743695016","1.3820%",""
"12","0xb26141c8caeecb06663a6ff611db62511e228fa9","","267.934356349940485496","0.7812%",""
"13","0x9464109637e26f66334db4d98e287baf5f739f58","","161.853494949554467095","0.4719%",""
"14","0x4ee77d7a485cfd4c7b522dcef34194608582adf7","","159.143506318618677083","0.4640%",""
"15","0xd0013d0d6afcc1ad69a8a5d898a178c5ec03af4b","","91.48558290718543296","0.2667%",""
"16","0xc1c41cc93e5f18f6e77c3f5f7240cd5692fb4825","","89.774767158692143516","0.2617%",""
"17","0xf18aad1b21dc879549c42a5e679fb1accfbb6616","","38.530487621910021295","0.1123%",""
"18","0x81444fd8ec08df63a02219a10ea0906d8c93925b","","30.5944675147740694","0.0892%",""
"19","0x44574d53474729f2949a7ecfb68b0641cfda4aa8","","23.134626810537179457","0.0675%",""
"20","0xdab60ee75171b84f71bf2fb9b2d2e77aed814616","","9.354392609687645811","0.0273%",""
"21","0x0000000000000000000000000000000000000000","Null: 0x000…000","0.000000000000001","0.0000%",""
